cust_id,month,balance,credit_limit,payment,days_past_due,inquiries,open_accounts,income,balance_prev,pct_change,default_next_3m
1,2020-01-01,2465,6880,1816,0,0,1,5457,0.0,2465.0,0
1,2020-02-01,3265,6880,2967,0,0,2,5457,2465.0,0.32454361054766734,0
1,2020-03-01,3221,6880,1839,0,0,1,5457,3265.0,-0.013476263399693721,0
1,2020-04-01,3473,6880,2296,0,0,1,5457,3221.0,0.07823657249301459,0
1,2020-05-01,3975,6880,2142,0,0,2,5457,3473.0,0.1445436222286208,0
1,2020-06-01,4151,6880,2726,0,0,2,5457,3975.0,0.04427672955974843,0
1,2020-07-01,4464,6880,2750,0,0,1,5457,4151.0,0.07540351722476511,0
1,2020-08-01,4945,6880,2886,1,0,3,5457,4464.0,0.10775089605734767,0
1,2020-09-01,4439,6880,3895,0,0,3,5457,4945.0,-0.10232558139534884,0
1,2020-10-01,4526,6880,2727,2,0,2,5457,4439.0,0.01959900878576256,0
1,2020-11-01,3704,6880,2119,0,0,3,5457,4526.0,-0.18161732213875387,0
1,2020-12-01,3738,6880,3138,1,0,2,5457,3704.0,0.0091792656587473,0
2,2020-01-01,1766,11442,1430,0,0,1,5018,0.0,1766.0,0
2,2020-02-01,1253,11442,650,0,0,1,5018,1766.0,-0.2904869762174405,0
2,2020-03-01,947,11442,608,0,0,1,5018,1253.0,-0.24421388667198723,0
2,2020-04-01,1270,11442,1142,0,0,1,5018,947.0,0.34107708553326294,0
2,2020-05-01,1275,11442,816,0,0,3,5018,1270.0,0.003937007874015748,0
2,2020-06-01,996,11442,750,0,0,1,5018,1275.0,-0.2188235294117647,1
2,2020-07-01,699,11442,376,0,0,2,5018,996.0,-0.29819277108433734,1
2,2020-08-01,559,11442,340,0,0,3,5018,699.0,-0.20028612303290416,1
2,2020-09-01,1034,11442,863,0,0,1,5018,559.0,0.8497316636851521,1
2,2020-10-01,1100,11442,1023,0,0,2,5018,1034.0,0.06382978723404255,1
2,2020-11-01,1829,11442,1126,0,0,1,5018,1100.0,0.6627272727272727,0
2,2020-12-01,1676,11442,1365,0,0,1,5018,1829.0,-0.08365226899945326,0
3,2020-01-01,6269,11154,5703,6,1,4,6397,0.0,6269.0,0
3,2020-02-01,6139,11154,5109,0,0,2,6397,6269.0,-0.020736959642686233,0
3,2020-03-01,5040,11154,4960,0,0,1,6397,6139.0,-0.1790193842645382,0
3,2020-04-01,3825,11154,3289,0,1,1,6397,5040.0,-0.24107142857142858,0
3,2020-05-01,4442,11154,3822,0,0,2,6397,3825.0,0.16130718954248366,0
3,2020-06-01,3487,11154,1980,0,0,1,6397,4442.0,-0.214993246285457,0
3,2020-07-01,3619,11154,3380,0,1,2,6397,3487.0,0.03785488958990536,0
3,2020-08-01,3702,11154,2145,0,0,5,6397,3619.0,0.022934512296214425,0
3,2020-09-01,3482,11154,2327,0,0,1,6397,3702.0,-0.05942733657482442,0
3,2020-10-01,2536,11154,1352,0,0,2,6397,3482.0,-0.2716829408385985,0
3,2020-11-01,2234,11154,1928,0,0,3,6397,2536.0,-0.11908517350157728,0
3,2020-12-01,2063,11154,1694,0,0,1,6397,2234.0,-0.076544315129812,0
4,2020-01-01,1573,11304,1483,1,0,1,6166,0.0,1573.0,0
4,2020-02-01,2114,11304,1698,0,0,3,6166,1573.0,0.343928798474253,0
